Property Country,Net Order Percent Change,Net Gross Booking Value USD Total Percent Change,Booking Value per order Percent Change
Romania,-0.018867924528301883,-0.19884088163866231,-0.06932650964946019
Russia,0.20304568527918776,-0.14787392368576358,-0.2763634178859913
Rwanda,1.0,4.3068044476806175,1.7597697768174636
Samoa,1.0,1.5301194971252041,0.16845601990903658
San Marino,1.5,1.3267792371941711,-0.06928830512233164
Sao Tome and Principe,-0.5,-0.6117709663686676,-0.22354193273733514
Saudi Arabia,0.5233644859813085,0.660539568704295,0.3078581406165526
Senegal,4.25,5.356870932634742,-0.1426671074947944
Serbia,0.22222222222222232,0.5255772647359374,-0.1362461023824013
Seychelles,1.5,1.5630043181176565,-0.3443361726956592
Sierra Leone,0.0,-0.22869735553379045,-0.22869735553379045
Singapore,0.1112084063047285,-0.07437350432225942,-0.060210019060683684
Sint Maarten,0.25373134328358216,-0.23665712710060338,0.11982515261146731
Slovakia,0.265625,0.12427302738771084,0.06870380904595019
Slovenia,0.3600000000000001,0.34983145218091294,-0.2705843077787692
Solomon Islands,0.0,-0.9363505851965879,-0.9363505851965879
South Africa,0.12189616252821667,-0.04182812229772048,-0.11106770063195603
South Korea,0.9374391431353457,0.46426742957184164,-0.14553903462777806
Spain & Canary Islands,0.3024861878453038,0.22168441515082637,0.001129466434268478
Sri Lanka,1.7619047619047619,0.4230627042762398,-0.45514951396102254
St. Barthelemy,4.0,2.7085381085830993,-0.25829237828338014
St. Kitts and Nevis,-0.050000000000000044,0.8632002509412018,-0.02583735964867606
St. Lucia,0.03571428571428581,0.2308812090770911,0.21286277989145486
St. Martin,0.7619047619047619,-0.2278570128966807,-0.40805808158690393
St. Vincent and the Grenadines,1.7999999999999998,1.6433347219329306,0.1175321827023934
State of Palestine,0.0,-0.34078212290502796,-0.34078212290502796
Suriname,5.0,6.564930911374831,0.3704320151032656
Svalbard,3.333333333333333,1.5951812219308747,-0.4194766180754155
Swaziland,-0.5,-0.7852192452303002,-0.5704384904606002
Sweden,0.1658536585365853,-0.06322122407477848,-0.16203087397393323
Switzerland,0.020342612419700146,-0.036998331088807124,0.13687277697212075
"Taiwan, Republic of China",1.0413421210305573,0.7838915580235073,-0.03788481929349252
Tajikistan,0.0,-0.1491029078160444,-0.1491029078160444
Tanzania,0.75,1.3951832576824077,0.6958239043770826
Thailand,0.7032749858836815,0.2560104923747266,-0.18148283930670772
Togo,0.0,1.405202121272764,1.405202121272764
Tonga,1.0,-0.5179643015478324,-0.7589821507739162
Trinidad and Tobago,-0.1875,-0.30996163208256766,-0.19486339247301654
Tunisia,0.4285714285714286,0.9719829247223404,0.4195154197204658
Turkey,-0.17189631650750337,-0.1862131362656828,-0.170633978756207
Turks and Caicos,0.18181818181818188,0.4794240649237249,-0.003782388959545413
U.S. Virgin Islands,-0.21118012422360244,-0.2738818898979404,0.19101585248837138
Uganda,0.7272727272727273,2.717682374400862,0.6146562248678891
Ukraine,0.6666666666666667,0.41789955671051615,-0.25353078459154865
United Arab Emirates,-0.06133828996282531,-0.2527185820747222,-0.2777136937256869
United Kingdom,0.3714263335160961,0.14084849271437694,-0.09119007956773528
United States of America,0.018770845545009296,-0.07126017207405533,-0.15683753432310343
Uruguay,0.3318181818181818,0.14858275151751665,-0.21375814592394382
Uzbekistan,-0.19999999999999996,1.54226629701934,2.7216707721384155
Vanuatu,-0.09999999999999998,0.4343721846101962,1.1368528693940294
Venezuela,-0.05555555555555558,-0.5789257514823801,-0.5242805318743781
Vietnam,1.1055381400208986,0.7279642956941066,-0.22317700569901444
Zambia,-0.16666666666666663,1.1894963674586427,1.7096825392537989
Zimbabwe,0.6190476190476191,-0.0705317262437225,-0.4444144823269256
